Lmph ,Lm Zmdy,BRICK,1961,YES,276,26,117.04
P Ezkihdf,Hpyxtwivp,BRICK,2002,NO,228,28,122.28
Ufpowq,Bbrugoh,BRICK,1996,YES,214,15,139.20
Ktwkt Hzezj,J Pfyb,PANEL,1967,NO,212,39,99.77
Jb Ks R Uizo C,Bomrwxi,BRICK,2016,NO,385,25,101.55
Lslmkcoyovgcsc,Ufaxthph A,PANEL,2006,YES,247,12,106.17
Skvhtvt,Dm Inqftg,MONOLITHIC,2009,NO,287,14,134.11
Avgmyobbti,Alzblom,MONOLITHIC,1992,YES,337,26,133.61
J Tabh ,J Lrm,MONOLITHIC,1989,YES,395,22,47.53
Rmjkofvrtkx,Zegxrniqksi,MONOLITHIC,1964,YES,335,10,83.15
Nlotp,Oiqxluf Uvniij,MONOLITHIC,1983,YES,241,10,44.69
Snacdwa,Oalgv Aht,BRICK,2017,NO,308,26,57.78
Dyqs Z Z,Wsgiwmpnh,MONOLITHIC,1973,NO,364,19,133.78
Xm Bktmumzm,A Zyxv Ohhjve,MONOLITHIC,1990,NO,375,12,40.57
Kewje ,Fbflqgd,BRICK,1981,YES,357,17,118.34
Iexdz,Nf Sw E Zphj ,BRICK,1999,YES,357,25,154.47
Dix E Gxz,Knteol J,PANEL,1964,NO,214,18,135.68
Hmaolvdj,Sbqmok Cxqz Q,MONOLITHIC,2022,YES,297,24,134.63
Niuqg,Bl Ntdfx Qbt,PANEL,1989,NO,296,23,81.40
Hlphw,Tf Lqkgudweajr,BRICK,1990,NO,202,32,107.25
Iw Ld,Jlxbfnt Hwkuk ,BRICK,2017,YES,286,18,55.14
Lduklrbqs ,Mvki E Fei,BRICK,1967,YES,202,31,146.65
Pvbhlpncgixvd,Knada V,BRICK,1964,YES,250,37,117.43
Vrlco,Kzmjrawsxrky U,BRICK,2020,YES,341,36,153.19
Havhwwdwkhp,Qxwjzze Cr,MONOLITHIC,1991,YES,346,25,137.76
Rtzo Uy Ieubst,Kox Nwglwoi,BRICK,2020,YES,295,33,61.91
Fzua Id ,Kz Rfw,MONOLITHIC,1962,NO,316,15,145.36
Ppzmlzcep Y J,Ixsg Ir Q Ppdq,BRICK,1993,NO,315,28,55.66
Rogaja,Jwfgicyq,MONOLITHIC,2012,NO,395,23,100.17
Go Amqq ,J Qcw,PANEL,1995,NO,315,25,65.48
